project_name,id,type,fromDate,toDate, amount,cumulative
"آماده سازی، باطله برداری، استخراج ماده معدنی (طلا و زرنیخ)، احداث و نگهداری راههای دسترسی در معدن طلای زرشوران",19,تعدیل,1404/11/01,1404/11/30,244683505097,4453489632984
"آماده سازی، باطله برداری، استخراج ماده معدنی (طلا و زرنیخ)، احداث و نگهداری راههای دسترسی در معدن طلای زرشوران",20,تعدیل,1404/12/01,1404/12/29,671127560616,5124617193600
"آماده سازی، باطله برداری، استخراج ماده معدنی (طلا و زرنیخ)، احداث و نگهداری راههای دسترسی در معدن طلای زرشوران",21,تعدیل,1404/01/01,1404/01/31,273081144245,5397698337845
عملیات اجرایی احداث تونل اسالم به خلخال (گردنه الماس),1,تعدیل,1402/06/26,1402/10/30,27494722138,27494722138
عملیات اجرایی احداث تونل اسالم به خلخال (گردنه الماس),2,تعدیل,1402/11/01,1402/12/29,16086232309,43580954447
عملیات اجرایی احداث تونل اسالم به خلخال (گردنه الماس),3,تعدیل,1403/01/01,1403/03/31,44550300273,88131254720
عملیات اجرایی احداث تونل اسالم به خلخال (گردنه الماس),4,تعدیل,1403/04/01,1403/04/31,6761937585,94893192305
عملیات اجرایی احداث تونل اسالم به خلخال (گردنه الماس),5,تعدیل,1402/07/06,1403/04/31,29041756692,123934948997
عملیات اجرایی احداث تونل اسالم به خلخال (گردنه الماس),6,تعدیل,1404/05/01,1404/05/31,50512876664,174447825661
عملیات اجرایی احداث تونل اسالم به خلخال (گردنه الماس),7,تعدیل,1404/06/01,1404/06/31,29919162570,204366988231
عملیات اجرایی احداث تونل اسالم به خلخال (گردنه الماس),8,تعدیل,1404/07/01,1404/07/30,41917218877,246284207108
عملیات اجرایی احداث تونل اسالم به خلخال (گردنه الماس),9,تعدیل,1404/08/01,1404/08/30,39874527976,286158735084
عملیات اجرایی احداث تونل اسالم به خلخال (گردنه الماس),10,تعدیل,1404/09/01,1404/09/30,174678805393,460837540477
احداث تونل انتقال آب کامه به همراه سازه های تبدیل ورودی و خروجی به صورت طرح و ساخت (EPC غیر صنعتی),1,تعدیل,1402/02/10,1402/03/31,6487896989,6487896989
